"Item Name","Preferred Stock ","Current Stock ","NEXT SHOW: DFW Card Show, April 26","Shipping address omitted","Bring to Next Con ","Replenish?","#100 Satin","","","","","","","","","","","","","","","","","",""
"Kobayashi Tohru Nap","5","2","","","3","No","","","","","","","","","","","","","","","","","","",""
"Koabayashi Ecchi ","5","5","","","0","","","","","","","","","","","","","","","","","","","",""
"Kob Tohru Holiday (seasonal)","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Mavis and Zeref Close","10","0","https://drive.google.com/file/d/1pS19AplNDYju0Nh4STiT2evAbIxOflX9/view?usp=sharing","","10","Yes","NEW","","","","","","","","","","","","","","","","","",""
"Bathtub Blair","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Orange Pumpkin Blair","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Purple Paws Blair ","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Blair Moon","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Pink Mavis","5","3","","","2","","","","","","","","","","","","","","","","","","","",""
"Forest Mavis ","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Pink Shadows Mavis ","5","6","","","0","","","","","","","","","","","","","","","","","","","",""
"Snowy Mavis","5","4","","","1","","","","","","","","","","","","","","","","","","","",""
"FairyTail Cast ","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Grinch (seasonal) ","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"Pink Manga Cover","5","0","","","5","","","","","","","","","","","","","","","","","","","",""
"MVA Cover ","5","0","","","5","No","","","","","","","","","","","","","","","","","","",""
"Toga Devil","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Blair Magician","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Blair Pumpkin Kiss","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Lisa Frank Toga","5","2","","","3","No","","","","","","","","","","","","","","","","","","",""
"Black Mask Toga","3","6","","","0","No","","","","","","","","","","","","","","","","","","",""
"Koby #4 Card","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Goth Toga","5","5","","","0","No","","","","","","","","","","","","","","","","","","",""
"Toga Ochaco AWK Hug","7","0","https://drive.google.com/file/d/1SoYX2bBvuJJKsaFMBbMXf2KZ5zfnil4c/view?usp=sharing","","7","Yes","NEW","","","","","","","","","","","","","","","","","",""
"Kob_Tohru_Omurice","10","0","https://drive.google.com/file/d/1itj9ZM4euTG0H8C6DXKQKJ2gIB1TZ6V6/view?usp=drive_link","","10","Yes","NEW","","","","","","","","","","","","","","","","","",""
"Mavis and Zera","7","0","","","7","No","","","","","","","","","","","","","","","","","","",""
"Toga Trail","7","0","https://drive.google.com/file/d/1rTuV8TOIHmS-kAVSCD7l5V8mbHdpMKL_/view?usp=sharing","","7","Yes","NEW","","","","","","","","","","","","","","","","","",""
"Asia Clovers","7","0","https://drive.google.com/file/d/1FTL60NeFunkDUby6kgfj_paL2rvblsmI/view?usp=drive_link","","7","Yes","NEW","","","","","","","","","","","","","","","","","",""
