name,image,material,size
Blood Artisan Asia,/prints/current-inventory/2486133645-metal-print-6x9-blood-artisan-asia.jpg,Metal print,6x9
Blood Artisan Blair,/prints/current-inventory/3269733603-metal-print-6x9-blood-artisan-blair.jpg,Metal print,6x9
Coby Tribute Card,/prints/current-inventory/3671714371-metal-print-6x9-coby-tribute-card.jpg,Metal print,6x9
Dragon Maid Nap,/prints/current-inventory/429265287-metal-print-6x9-dragon-maid-nap.jpg,Metal print,6x9
DXD Card Art,/prints/current-inventory/1194598503-metal-print-6x9-dxd-card-art.jpg,Metal print,6x9
FairyTail Cast,/prints/current-inventory/3586057916-metal-print-6x9-fairytail-cast.jpg,Metal print,6x9
Maron- Not Bulma,/prints/current-inventory/2746585973-metal-print-6x9-maron-not-bulma.jpg,Metal print,6x9
Mavis Zeref Touch,/prints/current-inventory/3949902989-metal-print-6x9-mavis-zeref-touch.jpg,Metal print,6x9
Miss Doublefinger Card Art,/prints/current-inventory/2004531536-metal-print-6x9-miss-doublefinger-card-art.jpg,Metal print,6x9
Nami Vs DoubleFinger,/prints/current-inventory/768109280-metal-print-6x9-nami-vs-doublefinger.jpg,Metal print,6x9
Star Mavis,/prints/current-inventory/430369640-metal-print-6x9-star-mavis.jpg,Metal print,6x9
Toga #6 Coat Card Art,/prints/current-inventory/3998479041-metal-print-6x9-toga-6-coat-card-art.jpg,Metal print,6x9
Toga Goth,/prints/current-inventory/2899905697-metal-print-6x9-toga-goth.jpg,Metal print,6x9
Toga Rare Card,/prints/current-inventory/1349057464-metal-print-6x9-toga-rare-card.jpg,Metal print,6x9
Uraka V Toga Cover red bg,/prints/current-inventory/1119332136-metal-print-6x9-uraka-v-toga-cover-red-bg.jpg,Metal print,6x9
Asia Card J,/prints/current-inventory/2811808333-metal-trading-card-trading-card-asia-card-j.jpg,Metal trading card,trading card
Asia Closeup Card Art,/prints/current-inventory/1784411290-metal-trading-card-trading-card-asia-closeup-card-art.jpg,Metal trading card,trading card
Asia Clover,/prints/current-inventory/1341047880-metal-trading-card-trading-card-asia-clover.jpg,Metal trading card,trading card
Asia Konako Card Art,/prints/current-inventory/342108241-metal-trading-card-trading-card-asia-konako-card-art.jpg,Metal trading card,trading card
Asia lvl 4 card,/prints/current-inventory/1436320751-metal-trading-card-trading-card-asia-lvl-4-card.jpg,Metal trading card,trading card
Asia Swimsuit,/prints/current-inventory/2384325203-metal-trading-card-trading-card-asia-swimsuit.jpg,Metal trading card,trading card
Asia Xenovia DXD,/prints/current-inventory/3104933290-metal-trading-card-trading-card-asia-xenovia-dxd.jpg,Metal trading card,trading card
Asia Xenovia leash,/prints/current-inventory/715444302-metal-trading-card-trading-card-asia-xenovia-leash.jpg,Metal trading card,trading card
Bathtub Blair,/prints/current-inventory/197512314-metal-trading-card-trading-card-bathtub-blair.jpg,Metal trading card,trading card
Blair Purple Paws OG,/prints/current-inventory/2176339636-metal-trading-card-trading-card-blair-purple-paws-og.jpg,Metal trading card,trading card
Blair_Maka_Panel,/prints/current-inventory/1040043661-metal-trading-card-trading-card-blair-maka-panel.jpg,Metal trading card,trading card
Blood Artisan Asia,/prints/current-inventory/1163688995-metal-trading-card-trading-card-blood-artisan-asia.jpg,Metal trading card,trading card
Blood Artisan Blair,/prints/current-inventory/3944105749-metal-trading-card-trading-card-blood-artisan-blair.jpg,Metal trading card,trading card
Death Minatsuki,/prints/current-inventory/1823232763-metal-trading-card-trading-card-death-minatsuki.jpg,Metal trading card,trading card
Devil Toga,/prints/current-inventory/34238197-metal-trading-card-trading-card-devil-toga.jpg,Metal trading card,trading card
DoubleFinger Nami Card Art,/prints/current-inventory/729782330-metal-trading-card-trading-card-doublefinger-nami-card-art.jpg,Metal trading card,trading card
Elze- The Sun,/prints/current-inventory/1884440639-metal-trading-card-trading-card-elze-the-sun.jpg,Metal trading card,trading card
Homura- Seven of Wands,/prints/current-inventory/1593936373-metal-trading-card-trading-card-homura-seven-of-wands.jpg,Metal trading card,trading card
Kobayashi_Omurice,/prints/current-inventory/1266487957-metal-trading-card-trading-card-kobayashi-omurice.jpg,Metal trading card,trading card
Kobayashi_Tohru_Gift,/prints/current-inventory/2618557931-metal-trading-card-trading-card-kobayashi-tohru-gift.jpg,Metal trading card,trading card
Koby Tribute Card,/prints/current-inventory/2933601227-metal-trading-card-trading-card-koby-tribute-card.jpg,Metal trading card,trading card
Lisa Frank Toga,/prints/current-inventory/1260961823-metal-trading-card-trading-card-lisa-frank-toga.jpg,Metal trading card,trading card
Maron Not Bulma,/prints/current-inventory/308715684-metal-trading-card-trading-card-maron-not-bulma.jpg,Metal trading card,trading card
Mavis Adventure,/prints/current-inventory/3318673673-metal-trading-card-trading-card-mavis-adventure.jpg,Metal trading card,trading card
Mavis Forest,/prints/current-inventory/2586075243-metal-trading-card-trading-card-mavis-forest.jpg,Metal trading card,trading card
Mavis Zeref Touch,/prints/current-inventory/1849192843-metal-trading-card-trading-card-mavis-zeref-touch.jpg,Metal trading card,trading card
Minami- Queen of Wands,/prints/current-inventory/2198287725-metal-trading-card-trading-card-minami-queen-of-wands.jpg,Metal trading card,trading card
Miss DoubleFinger Card Art,/prints/current-inventory/2004552972-metal-trading-card-trading-card-miss-doublefinger-card-art.jpg,Metal trading card,trading card
Power and Toga,/prints/current-inventory/3001291282-metal-trading-card-trading-card-power-and-toga.jpg,Metal trading card,trading card
Saki The World,/prints/current-inventory/1880408365-metal-trading-card-trading-card-saki-the-world.jpg,Metal trading card,trading card
Spy Family Girls,/prints/current-inventory/3373850721-metal-trading-card-trading-card-spy-family-girls.jpg,Metal trading card,trading card
Star Mavis,/prints/current-inventory/38335779-metal-trading-card-trading-card-star-mavis.jpg,Metal trading card,trading card
Toga 6 Coat,/prints/current-inventory/1918648237-metal-trading-card-trading-card-toga-6-coat.jpg,Metal trading card,trading card
Toga Black Mask,/prints/current-inventory/2479970815-metal-trading-card-trading-card-toga-black-mask.jpg,Metal trading card,trading card
Toga Goth,/prints/current-inventory/4154300878-metal-trading-card-trading-card-toga-goth.jpg,Metal trading card,trading card
Toga in the Middle,/prints/current-inventory/1006430193-metal-trading-card-trading-card-toga-in-the-middle.jpg,Metal trading card,trading card
Toga MVA Cover,/prints/current-inventory/1758596449-metal-trading-card-trading-card-toga-mva-cover.jpg,Metal trading card,trading card
Toga Ochaco Fight Knife,/prints/current-inventory/3183190345-metal-trading-card-trading-card-toga-ochaco-fight-knife.jpg,Metal trading card,trading card
Toga RARE card art,/prints/current-inventory/2411811680-metal-trading-card-trading-card-toga-rare-card-art.jpg,Metal trading card,trading card
Toga RareStab,/prints/current-inventory/851418911-metal-trading-card-trading-card-toga-rarestab.jpg,Metal trading card,trading card
Toga Red Neon,/prints/current-inventory/1729945876-metal-trading-card-trading-card-toga-red-neon.jpg,Metal trading card,trading card
Toga V Ochaco Purple,/prints/current-inventory/1200994633-metal-trading-card-trading-card-toga-v-ochaco-purple.jpg,Metal trading card,trading card
TogaOchaco_Awk_Hug,/prints/current-inventory/4245556048-metal-trading-card-trading-card-togaochaco-awk-hug.jpg,Metal trading card,trading card
